"","rank","Youtuber","subscribers","video.views","category","Title","uploads","Country","Abbreviation","channel_type","video_views_for_the_last_30_days","lowest_monthly_earnings","highest_monthly_earnings","lowest_yearly_earnings","highest_yearly_earnings","subscribers_for_last_30_days","created_year","created_month","created_date","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Latitude","Longitude"
"1",1,"T-Series",245000000,2.28e+11,"Music","T-Series",20082,"India","IN","Music",2.258e+09,564600,9e+06,6800000,108400000,2e+06,2006,"Mar",13,28.1,1366417754,5.36,20.593684,78.96288
"3",3,"MrBeast",166000000,28368841870,"Entertainment","MrBeast",741,"United States","US","Entertainment",1.348e+09,337000,5400000,4e+06,64700000,8e+06,2012,"Feb",20,88.2,328239523,14.7,37.09024,-95.712891
"4",4,"Cocomelon - Nursery Rhymes",162000000,1.64e+11,"Education","Cocomelon - Nursery Rhymes",966,"United States","US","Education",1.975e+09,493800,7900000,5900000,94800000,1e+06,2006,"Sep",1,88.2,328239523,14.7,37.09024,-95.712891
"5",5,"SET India",159000000,1.48e+11,"Shows","SET India",116536,"India","IN","Entertainment",1.824e+09,455900,7300000,5500000,87500000,1e+06,2006,"Sep",20,28.1,1366417754,5.36,20.593684,78.96288
"7",7,"ýýý Kids Diana Show",112000000,93247040539,"People & Blogs","ýýý Kids Diana Show",1111,"United States","US","Entertainment",731674000,182900,2900000,2200000,35100000,2e+05,2015,"May",12,88.2,328239523,14.7,37.09024,-95.712891
"8",8,"PewDiePie",111000000,29058044447,"Gaming","PewDiePie",4716,"Japan","JP","Entertainment",39184000,9800,156700,117600,1900000,2e+05,2010,"Apr",29,63.2,126226568,2.29,36.204824,138.252924
"9",9,"Like Nastya",106000000,90479060027,"People & Blogs","Like Nastya Vlog",493,"Russia","RU","People",48947000,12200,195800,146800,2300000,1e+05,2016,"Jan",14,81.9,144373535,4.59,61.52401,105.318756
"10",10,"Vlad and Niki",98900000,77180169894,"Entertainment","Vlad and Niki",574,"United States","US","Entertainment",580574000,145100,2300000,1700000,27900000,6e+05,2018,"Apr",23,88.2,328239523,14.7,37.09024,-95.712891
"11",11,"Zee Music Company",96700000,57856289381,"Music","Zee Music Company",8548,"India","IN","Music",803613000,200900,3200000,2400000,38600000,1100000,2014,"Mar",12,28.1,1366417754,5.36,20.593684,78.96288
"12",12,"WWE",96000000,77428473662,"Sports","WWE",70127,"United States","US","Sports",714614000,178700,2900000,2100000,34300000,6e+05,2007,"May",11,88.2,328239523,14.7,37.09024,-95.712891
"14",14,"BLACKPINK",89800000,32144597566,"People & Blogs","BLACKPINK",543,"South Korea","KR","Music",498930000,124700,2e+06,1500000,23900000,7e+05,2016,"Jun",29,94.3,51709098,4.15,35.907757,127.766922
"15",15,"Goldmines",86900000,24118230580,"Film & Animation","goldmines",1,"Unknown","Unknown","Music",18,0,0.07,162600,2600000,2e+05,2006,"Aug",15,68,328239523,8.88,37.09024,-51.92528
"16",16,"Sony SAB",83000000,1.01e+11,"Shows","Sony SAB",71270,"India","IN","Entertainment",1.657e+09,414300,6600000,5e+06,79600000,1100000,2007,"Aug",4,28.1,1366417754,5.36,20.593684,78.96288
